title,year,budget_raw,box_office_raw,image,budget_millionUSD,box_office_millionUSD,title_clean,log_budget,log_box_office
Traffic in Souls,1913,"$5,700","$981,000",images\1913_Traffic_in_Souls.jpg,0.0057,0.981,Traffic in Souls,0.005683816468297671,0.6836017677164139
The Birth of a Nation,1915,"$100,000+","$10,000,000",images\1915_The_Birth_of_a_Nation.jpg,0.1,10.0,The Birth of a Nation,0.09531017980432487,2.3978952727983707
Carmen,1915,"$23,429","$147,600",images\1915_Carmen.jpg,0.023429,0.1476,Carmen,0.023158753903533367,0.13767280512507268
The Cheat,1915,"$17,311","$137,364",images\1915_The_Cheat.jpg,0.017311,0.137364,The Cheat,0.017162871695309872,0.1287133042554889
The Golden Chance,1915,"$18,711","$83,504",images\1915_The_Golden_Chance.jpg,0.018711,0.083504,The Golden Chance,0.018538102631564007,0.08020023372719458
Chimmie Fadden Out West,1915,"$15,096","$72,036",images\1915_Chimmie_Fadden_Out_West.jpg,0.015096,0.072036,Chimmie Fadden Out West,0.014983189302011504,0.06955964417429675
The Arab,1915,"$18,327","$68,526",images\1915_The_Arab.jpg,0.018327,0.068526,The Arab,0.018161084623506657,0.06628012865836973
Intolerance,1916,"$385,907","$1,750,000",images\1916_Intolerance.jpg,0.385907,1.75,Intolerance,0.3263547989493353,1.0116009116784799
Joan the Woman,1916,"$302,976","$605,731",images\1916_Joan_the_Woman.jpg,0.302976,0.605731,Joan the Woman,0.26465087894007483,0.4735791046087249
Maria Rosa,1916,"$18,547","$102,767",images\1916_Maria_Rosa.jpg,0.018547,0.102767,Maria Rosa,0.018377101913584982,0.09782247588952761
Cleopatra,1917,"$250,000-500,000","$1,000,000",images\1917_Cleopatra.jpg,0.25,1.0,Cleopatra,0.22314355131420976,0.6931471805599453
A Romance of the Redwoods,1917,"$134,831","$424,718",images\1917_A_Romance_of_the_Redwoods.jpg,0.134831,0.424718,A Romance of the Redwoods,0.1264837411684432,0.3539738994000246
The Miracle Man,1919,"$120,000","$1,000,000",images\1919_The_Miracle_Man.jpg,0.12,1.0,The Miracle Man,0.11332868530700317,0.6931471805599453
Broken Blossoms,1919,"$88,000  or $115,000","$600,000",images\1919_Broken_Blossoms.jpg,0.1015,0.6,Broken Blossoms,0.09667288726026076,0.4700036292457356
Way Down East,1920,"$800,000  or $635,000","$2,000,000",images\1920_Way_Down_East.jpg,0.7175,2.0,Way Down East,0.5408697451143674,1.0986122886681098
Why Change Your Wife?,1920,"$129,349.31","$1,046,286",images\1920_Why_Change_Your_Wife?.jpg,0.12934931,1.046286,Why Change Your Wife?,0.1216416350110048,0.716026442706666
Something to Think About,1920,"$169,330","$915,848",images\1920_Something_to_Think_About.jpg,0.16933,0.915848,Something to Think About,0.1564309352106259,0.650160344460179
The Mark of Zorro,1920,"$169,187.05","$500,000",images\1920_The_Mark_of_Zorro.jpg,0.16918704999999998,0.5,The Mark of Zorro,0.15630867824424793,0.4054651081081644
The Kid,1921,"$250,000","$2,500,000",images\1921_The_Kid.jpg,0.25,2.5,The Kid,0.22314355131420976,1.252762968495368
The Affairs of Anatol,1921,"$176,508","$1,191,789",images\1921_The_Affairs_of_Anatol.jpg,0.176508,1.191789,The Affairs of Anatol,0.16255072899216563,0.7847181053284746
School Days,1921,"$133,000","$546,000",images\1921_School_Days.jpg,0.133,0.546,School Days,0.12486898204586927,0.4356709501652302
Why Girls Leave Home,1921,"$45,000","$410,000",images\1921_Why_Girls_Leave_Home.jpg,0.045,0.41,Why Girls Leave Home,0.04401688541677433,0.3435897043900769
Robin Hood,1922,"$930,000","$2,101,044",images\1922_Robin_Hood.jpg,0.93,2.101044,Robin Hood,0.6575200029167941,1.131738828988949
Manslaughter,1922,"$385,000","$1,206,014",images\1922_Manslaughter.jpg,0.385,1.206014,Manslaughter,0.32570013963930183,0.7911872671393687
Grandma's Boy,1922,"$94,412","$1,100,000",images\1922_Grandma's_Boy.jpg,0.094412,1.1,Grandma's Boy,0.09021723273831546,0.7419373447293773
Rags to Riches,1922,"$96,000","$418,000",images\1922_Rags_to_Riches.jpg,0.096,0.418,Rags to Riches,0.0916671885258238,0.34924742810993575
Heroes of the Street,1922,"$110,000","$366,000",images\1922_Heroes_of_the_Street.jpg,0.11,0.366,Heroes of the Street,0.10436001532424277,0.31188676114859837
