title,year,budget_raw,box_office_raw,release_date,section,image
Traffic in Souls,1913,"$5,700 [ 1 ]","$981,000 (US)[citation needed]",,Highest-grossing,images\1913_Traffic_in_Souls.jpg
The Spoilers,1914,,"$1,000,000[14]",,Highest-grossing,images\1914_The_Spoilers.jpg
Dough and Dynamite,1914,,"$130,000[15]",,Highest-grossing,images\1914_Dough_and_Dynamite.jpg
The Virginian,1914,,"$111,518[15]",,Highest-grossing,images\1914_The_Virginian.jpg
Rose of the Rancho,1914,,"$87,028[15]",,Highest-grossing,images\1914_Rose_of_the_Rancho.jpg
The Man from Home,1914,,"$62,091[15]",,Highest-grossing,images\1914_The_Man_from_Home.jpg
What's His Name,1914,,"$61,560[15]",,Highest-grossing,images\1914_What's_His_Name.jpg
The Call of the North,1914,,"$52,284[15]",,Highest-grossing,images\1914_The_Call_of_the_North.jpg
The Ghost Breaker,1914,,"$50,136[15]",,Highest-grossing,images\1914_The_Ghost_Breaker.jpg
The Birth of a Nation,1915,"$100,000+ [ 3 ]","$10,000,000[3]",,Highest-grossing,images\1915_The_Birth_of_a_Nation.jpg
Carmen,1915,"$23,429 [ 1 ] [ 2 ]","$147,600[4]",,Highest-grossing,images\1915_Carmen.jpg
The Cheat,1915,"$17,311 [ 1 ]","$137,364[4]",,Highest-grossing,images\1915_The_Cheat.jpg
Temptation,1915,"$ 22,472.25 [ 1 ] [ 2 ]","$102,437[4]",,Highest-grossing,images\1915_Temptation.jpg
The Girl of the Golden West,1915,,"$102,224[4]",,Highest-grossing,images\1915_The_Girl_of_the_Golden_West.jpg
The Warrens of Virginia,1915,,"$85,770[4]",,Highest-grossing,images\1915_The_Warrens_of_Virginia.jpg
The Golden Chance,1915,"$18,711","$83,504[4]",,Highest-grossing,images\1915_The_Golden_Chance.jpg
Chimmie Fadden,1915,"$ 10,504.39 [ 1 ] [ 2 ]","$78,944[4]",,Highest-grossing,images\1915_Chimmie_Fadden.jpg
Chimmie Fadden Out West,1915,"$15,096 [ 1 ]","$72,036[4]",,Highest-grossing,images\1915_Chimmie_Fadden_Out_West.jpg
The Arab,1915,"$18,327 [ 1 ]","$68,526[4]",,Highest-grossing,images\1915_The_Arab.jpg
Intolerance,1916,"$385,907 [ 1 ]","$1,750,000[1]",,Highest-grossing,images\1916_Intolerance.jpg
Joan the Woman,1916,"$302,976 [ 1 ] [ 2 ]","$605,731[2]",,Highest-grossing,images\1916_Joan_the_Woman.jpg
Maria Rosa,1916,"$18,547 [ 1 ]","$102,767[2]",,Highest-grossing,images\1916_Maria_Rosa.jpg
The Heart of Nora Flynn,1916,,"$87,738[2]",,Highest-grossing,
The Trail of the Lonesome Pine,1916,,"$77,944[2]",,Highest-grossing,images\1916_The_Trail_of_the_Lonesome_Pine.jpg
The Dream Girl,1916,,"$66,725[2]",,Highest-grossing,images\1916_The_Dream_Girl.jpg
Cleopatra,1917,"$250,000–500,000 [ 1 ]","$1,000,000[3]",,Highest-grossing,images\1917_Cleopatra.jpg
The Little American,1917,"$ 166,949.16 [ 1 ] [ 2 ]","$446,236[4]",,Highest-grossing,images\1917_The_Little_American.jpg
A Romance of the Redwoods,1917,"$134,831 [ 1 ]","$424,718[4]",,Highest-grossing,images\1917_A_Romance_of_the_Redwoods.jpg
The Woman God Forgot,1917,,"$340,504[4]",,Highest-grossing,images\1917_The_Woman_God_Forgot.jpg
The Devil Stone,1917,,"$296,031[4]",,Highest-grossing,images\1917_The_Devil_Stone.jpg
Old Wives for New,1918,,"$286,504[1]",,Highest-grossing,images\1918_Old_Wives_for_New.jpg
The Squaw Man,1918,,"$283,556[1]",,Highest-grossing,images\1918_The_Squaw_Man.jpg
The Whispering Chorus,1918,,"$242,109[1]",,Highest-grossing,images\1918_The_Whispering_Chorus.jpg
